id,start,end,duration,working_on,what_did
244651e201c44017b3856550da34d02d,2026-04-12 18:44:34,2026-04-12 18:59:40,15,,
8ad8af20a71c468a9b48bb250fafe54a,2026-04-06 14:12:50,2026-04-06 14:34:58,22,,
dd64b36e81194519a8d61a03ec703e49,2026-04-04 22:32:57,2026-04-04 23:07:00,34,,trying to learn but i'm very heavy. info bearly comes into mind
c14335fb2969427abe78f8ef043a9f24,2026-03-30 18:25:27,2026-03-30 18:48:11,23,,
ecfcd5156f184089a2620b7117e4857e,2026-03-30 14:19:00,2026-03-30 15:24:00,61,,
0693bfb0f48a4e7e9028dae24e5a7ce5,2026-03-29 12:46:56,2026-03-29 17:35:57,55,applied analysis,
84eaf25328fb42b885d9d7a450188130,2026-03-28 18:40:01,2026-03-28 19:33:43,54,,still the google play question takes too much time. extreme frustration not progression 1 question hate this ambiguity
605121c3d83b4ea8a5848d8fe8457c18,2026-03-28 18:16:11,2026-03-28 18:35:31,19,,start convo with claude about an ab test question
e7308d5f3dca446aa1617196f0c0f8a6,2026-03-27 17:07:00,2026-03-27 18:16:00,30,,ab testing block
c7b53a582b3d48469894a5485028093c,2026-03-27 16:40:53,2026-03-27 16:42:17,1,,
92b2e999c6244ae586c77485040d8bce,2026-03-27 15:00:58,2026-03-27 16:12:58,72,,finish block 2 python programming
b9a13d7e6c4f4a3b8d2e1f9c5a7b8e0d,2026-03-27 14:17:52,2026-03-27 14:47:52,30,,
4adf73f407a444848f662243d672301e,2026-03-26 18:20:44,2026-03-26 18:59:29,32,,
035c5559f8ae410283a02201992c9791,2026-03-26 16:57:25,2026-03-26 17:46:04,49,block2 boostrap requiz,blok2 ols drill
2d0f02f09b37496e845ee25526092f44,2026-03-26 14:29:35,2026-03-26 15:07:01,37,block2 bootstrap coding drill1,
137261137f684ef58f854c65dda52e45,2026-03-26 14:07:19,2026-03-26 14:29:17,22,round 1 sql requize 7,
legacy-68ff9cb4835aeb53,2026-03-26 13:44:15,2026-03-26 14:06:06,21,round 1 sql num 7,
legacy-aac068132a0b6b74,2026-03-25 18:47:27,2026-03-25 19:16:33,29,round1 question 6,
legacy-835979cab67ce94c,2026-03-25 17:40:37,2026-03-25 17:51:48,11,requiz drill 5,requiz drill 5
legacy-0bc2d784e7f73ec6,2026-03-25 17:16:00,2026-03-25 17:40:20,24,round 1 sql drill 5,
legacy-b529fe1f021382f2,2026-03-25 14:29:28,2026-03-25 15:16:21,47,round 1 sql question 3,round 1 sql question 3 and 4
legacy-788c29ea3482fbef,2026-03-25 14:28:52,2026-03-25 14:29:12,0,round 1 sql question 3,nothing
legacy-ffca7c0779a2615b,2026-03-25 14:03:09,2026-03-25 14:26:49,24,,round1 second question sql yoy overtime
legacy-d0f839eeaa3c39e2,2026-03-25 13:57:51,2026-03-25 13:58:00,0,,round1 sql question1 ctr over time
legacy-ff8263108700ec42,2026-03-25 12:54:47,2026-03-25 12:55:37,1,,round1 sql question1 ctr over time
legacy-521942cd62af39ed,2026-03-25 12:38:13,2026-03-25 12:54:23,16,,round1 chat sql
legacy-9eaec6054c03d83f,2026-03-23 14:22:35,2026-03-23 14:38:25,16,,learn rlhf
legacy-2e0914b7de705407,2026-03-23 14:01:59,2026-03-23 14:22:30,21,,learn rlhf
legacy-d1b9a979df809aa1,2026-03-23 13:15:32,2026-03-23 13:36:31,21,,learn rlhf
legacy-84786d32c0da4355,2026-03-22 16:48:35,2026-03-22 17:09:01,20,,learn transfomer
legacy-7e2f4d9b701223ad,2026-03-21 13:14:21,2026-03-21 13:31:38,17,,"continue llm lesson: not much progress, tired and frustrated"
legacy-74f5150739d586a4,2026-03-21 12:43:16,2026-03-21 13:03:52,21,,"llm-transformers-lesson-start it (adminstration of asking claude to visualize, reading, yet to read before ending lesson)"
legacy-3794401ebfa0052d,2026-03-20 19:01:12,2026-03-20 19:41:29,40,,"probability redrill, 3 questions. moving to llm and transfomers"
legacy-839f747e564af5d7,2026-03-20 17:45:44,2026-03-20 18:45:12,59,,probability questions 3 finsih mock. next i will start redrilling on probability and stats
legacy-c174e5aafad7af47,2026-03-19 17:27:10,2026-03-19 17:47:47,21,,probability
legacy-3e8bf764d95c1d19,2026-03-19 17:02:24,2026-03-19 17:09:28,7,,probability questions
legacy-047878ac85e562aa,2026-03-19 16:34:49,2026-03-19 16:43:36,9,,stats-ml-llm practice: probability
legacy-9fa58768098de702,2026-03-19 16:14:36,2026-03-19 16:34:45,20,,stats-ml-llm practice: probability 1q
legacy-96b22e618d5b2ab0,2026-03-19 15:44:26,2026-03-19 16:14:28,30,,stats-ml-llm practice: probability (1 question so far)
legacy-b5c6347dea9c6659,2026-03-18 19:00:16,2026-03-18 19:15:53,16,,"last probability question, finish mock"
legacy-e6855872ce651acb,2026-03-18 18:44:31,2026-03-18 19:00:10,16,,few more questions in the mock interivew now on the 11th which is the last one (stats probability subject)
legacy-869ae02a68cadef3,2026-03-18 18:08:03,2026-03-18 18:39:22,31,,
legacy-9935466191890dda,2026-03-18 17:24:06,2026-03-18 17:40:23,16,,doing stats+ml mock with claude
legacy-c25cbfa5ceed3e8b,2026-03-18 16:42:15,2026-03-18 17:03:03,21,,organized file to chat to teach me the stats and probability now i see it is too simple
legacy-a21f91d98445d464,2026-03-18 16:21:07,2026-03-18 16:42:12,21,,I leave the ab test as I feel failure. converting files to format to use to learn stats and probability llm
legacy-b5508c8d273ffaad,2026-03-18 12:55:43,2026-03-18 13:15:48,20,,
legacy-5054d6217e1c2449,2026-03-17 18:47:00,2026-03-17 18:52:09,5,,try mock question
legacy-a721bb4688255faa,2026-03-17 18:29:20,2026-03-17 18:44:22,15,,
legacy-33d02e3c2b84e8aa,2026-03-17 18:03:51,2026-03-17 18:29:16,25,,
legacy-56d9755c8a6d266a,2026-03-17 16:59:35,2026-03-17 17:19:45,20,,"finish ab-test new claude mock, actual: tech problem with stopper, tech problem with claude"
legacy-86c3b326315ebfe3,2026-03-17 16:51:05,2026-03-17 16:56:14,5,,
legacy-a01ed040c6a4fc02,2026-03-16 19:40:00,2026-03-16 20:15:30,35,,mock test+starting to learn the cupped subject (var reduction)
legacy-928986d7d1eb4ad3,2026-03-16 18:40:59,2026-03-16 19:34:16,53,,mock test+starting to learn the cupped subject (var reduction)
legacy-b36e6a39d163fffe,2026-03-16 17:32:17,2026-03-16 17:56:56,25,,network effect learn + question
legacy-ea5b1deb42a00dba,2026-03-16 17:06:18,2026-03-16 17:29:24,23,,"2 drugs question, primacy novelty effect question"
legacy-ca718341dc477fa8,2026-03-16 16:12:26,2026-03-16 16:43:43,31,,"solve: ""You run your Google summary box experiment. Results look great — sessions-per-user up 8%, p < 0.001. But Control group has 52,000 users and Treatment has 48,000 users. You configured 50/50. What's wrong and what do you do?"""
legacy-114b775d55f054f5,2026-03-16 15:39:57,2026-03-16 16:11:59,32,,"1  more questions with claude ""You see a 3% increase in sessions-per-user. p-value = 0.12. What do you do?"" i solved it and ietrated with claude how to do so"
